system,english_name,chinese_name,source_id,extra_json
3do,"Daedalus Encounter, The (USA) (Disc 4)",宇宙冒险家（美版） （光碟 4）,3DO#102,
3do,"Daedalus Encounter, The - Episode 1 - Nanpasen no Alien (Japan) (Disc 1)",宇宙冒险家 第一章 遇难船的外星人（日版） （光碟 1）,3DO#103,
3do,"Daedalus Encounter, The - Episode 1 - Nanpasen no Alien (Japan) (Disc 2)",宇宙冒险家 第一章 遇难船的外星人（日版） （光碟 2）,3DO#104,
3do,"Daedalus Encounter, The - Episode 1 - Nanpasen no Alien (Japan) (Disc 3)",宇宙冒险家 第一章 遇难船的外星人（日版） （光碟 3）,3DO#105,
3do,"Daedalus Encounter, The - Episode 1 - Nanpasen no Alien (Japan) (Disc 4)",宇宙冒险家 第一章 遇难船的外星人（日版） （光碟 4）,3DO#106,
3do,DeathKeep (USA),死亡守护者（美版）,3DO#107,
3do,Decathlon (USA) (Unl),十项全能（美版） （非官方版）,3DO#108,
3do,Defcon 5 (Europe),5级戒备状态（欧版）,3DO#109,
3do,Defcon 5 (Germany),5级戒备状态（德国版）,3DO#110,
3do,Defcon 5 (Japan),5级戒备状态（日版）,3DO#111,
3do,Defcon 5 (Korea),5级戒备状态（韩国版）,3DO#112,
3do,Demolition Man (Japan),越空狂龙（日版）,3DO#113,
3do,Demolition Man (USA),越空狂龙（美版）,3DO#114,
3do,Dennis Miller - That's News to Me (USA),,3DO#115,
3do,Dennou Hyouryuu - Multimedia Cruising (Japan),電脳漂流（日版）,3DO#116,
3do,Digital Dreamware (USA),数字织梦者（美版）,3DO#117,
3do,DinoPark Tycoon (USA),迪诺公园大亨（美版）,3DO#118,
3do,Diving Spot Guide - Marine Tour (Japan),潜水点导游-海上旅游（日版）,3DO#119,
3do,Doctor Hauzer (Japan),浩泽博士（日版）,3DO#120,
3do,Doom (USA),毁灭战士（美版）,3DO#121,
3do,"Dragon Lore - The Legend Begins (USA, Europe) (Disc 1)",巨龙传说（美版 欧版） （光碟 1）,3DO#122,
3do,"Dragon Lore - The Legend Begins (USA, Europe) (Disc 2)",巨龙传说（美版 欧版） （光碟 2）,3DO#123,
3do,"Dragon Lore - The Legend Begins (USA, Europe) (Disc 3)",巨龙传说（美版 欧版） （光碟 3）,3DO#124,
3do,Dragon Tycoon Edge (Japan),龙王边缘（日版）,3DO#125,
3do,"Dragon's Lair (Europe) (En,Fr,De,It)","龙穴历险记（欧版） (En,Fr,De,It)",3DO#126,
3do,Dragon's Lair (Japan),龙穴历险记（日版）,3DO#127,
3do,Dragon's Lair (USA) (RE1),龙穴历险记（美版） (RE1),3DO#128,
3do,"Dragon's Lair (USA, Korea)",龙穴历险记（美版，韩版）,3DO#129,
3do,Drug Wars (USA),毒品战争（美版）,3DO#130,
3do,Emit Vol. 1 - Toki no Maigo (Japan),Emit卷1 - 时の迷子（日版）,3DO#131,
3do,Emit Vol. 2 - Inochigake no Tabi (Japan),Emit卷2 - 命がけの旅（日版）,3DO#132,
3do,Emit Vol. 3 - Watashi ni Sayonara o (Japan),Emit卷3 - 对我说再见（日版）,3DO#133,
3do,Endlessly (USA),无穷禁地（美版）,3DO#134,
3do,Escape from Monster Manor (Europe),逃离怪兽领地（欧版）,3DO#135,
3do,"Escape from Monster Manor (Korea) (En,Ko)","逃离怪兽领地（韩国版） (En,Ko)",3DO#136,
3do,Escape from Monster Manor (USA),逃离怪兽领地（美版）,3DO#137,
3do,ESPN Baseball - Hitting (USA),ESPN棒球（美版）,3DO#138,
3do,ESPN Fitness Pros - Step Aerobics (USA),,3DO#139,
3do,ESPN Golf - Lower Your Score with Tom Kite - Shot Making (USA) (Disc 1),ESPN 高尔夫（美版） （光碟 1）,3DO#140,
3do,ESPN Golf - Lower Your Score with Tom Kite - Shot Making (USA) (Disc 2),ESPN 高尔夫（美版） （光碟 2）,3DO#141,
3do,ESPN Golf - Lower Your Score with Tom Kite - Shot Making (USA) (Disc 3),ESPN 高尔夫（美版） （光碟 3）,3DO#142,
3do,ESPN Golf - Lower Your Score with Tom Kite - Shot Making (USA) (Disc 4),ESPN 高尔夫（美版） （光碟 4）,3DO#143,
3do,ESPN Golf - Tom Kite no Kore ga Golf da! (Japan) (Disc 1) (Shot Yousei Kouza Vol. 1),ESPN 高尔夫（日版） （光碟 1） (Shot Yousei Kouza Vol. 1),3DO#144,
3do,ESPN Golf - Tom Kite no Kore ga Golf da! (Japan) (Disc 2) (Shot Yousei Kouza Vol. 2),ESPN 高尔夫（日版） （光碟 2） (Shot Yousei Kouza Vol. 2),3DO#145,
3do,ESPN Golf - Tom Kite no Kore ga Golf da! (Japan) (Disc 3) (Pro ni Kike!),ESPN 高尔夫（日版） （光碟 3） (Pro ni Kike!),3DO#146,
3do,"ESPN Let's Go Skiing with Picabo Street, A. J. Kitt & Holly Flanders (USA)",,3DO#147,
3do,ESPN Let's Play Beach Volleyball with Karch Kiraly and Karolyn Kirby (USA),,3DO#148,
3do,ESPN Let's Play Soccer with John Harkes and Mia Hamm (USA),,3DO#149,
3do,ESPN Let's Play Tennis with Tracy Austin (USA),,3DO#150,
3do,Eye of Typhoon (Korea),,3DO#151,
3do,"Eye of Typhoon, The (Korea)",,3DO#152,
3do,"Eye of Typhoon, The (Korea) (Disc 1)",,3DO#153,
3do,F1GP (Japan),F1 GP赛车（日版）,3DO#154,
3do,Family Feud (USA),家庭问答（美版）,3DO#155,
3do,"Fatty Bear's Birthday Surprise (Japan) (En,Ja)","胖熊的生日惊喜（日版） (En,Ja)",3DO#156,
3do,Fatty Bear's Birthday Surprise (USA),胖熊的生日惊喜（美版）,3DO#157,
3do,Fatty Bear's Fun Pack (Korea),,3DO#158,
3do,Fatty Bear's Funpack (Japan),胖熊的玩具（日版）,3DO#159,
3do,Fatty Bear's Funpack (USA),胖熊的玩具（美版）,3DO#160,
3do,FB Battery Navi Ver. II (Japan),,3DO#161,
3do,FIFA International Soccer (Europe),FIFA世界杯（欧版）,3DO#162,
3do,"FIFA International Soccer (USA, Korea)",FIFA世界杯（美版，韩版）,3DO#163,
3do,Fire Ball!! (Japan),火球（日版）,3DO#164,
3do,Fire Ball!! (Japan) (Rev 1),火球（日版） （修正版 1）,3DO#165,
3do,Firewall (Korea),,3DO#166,
3do,"Flashback (Europe) (En,Fr)","回到过去（欧版） (En,Fr)",3DO#167,
3do,"Flashback (Japan) (En,Ja,Fr,De,It,Nl)","回到过去（日版） (En,Ja,Fr,De,It,Nl)",3DO#168,
3do,"Flashback - The Quest for Identity (USA) (En,Fr)","回到过去:印地安之谜（美版） (En,Fr)",3DO#169,
3do,Flopon World (Japan),怪物世界消方块（日版）,3DO#170,
3do,Flopon World (Japan) (Demo),怪物世界消方块（日版） （演示版）,3DO#171,
3do,Flying Nightmares (Europe),梦魇（欧版）,3DO#172,
3do,Flying Nightmares (USA),梦魇（美版）,3DO#173,
3do,Foes of Ali (Europe),阿里的敌人（欧版）,3DO#174,
3do,Foes of Ali (USA),阿里的敌人（美版）,3DO#175,
3do,Footie (USA) (Powerslide Bonus Disk) (Unl),足球运动（美版） (Powerslide Bonus Disk) （非官方版）,3DO#176,
3do,Fun 'n Games (USA),,3DO#177,
3do,"Fun 'n Games - Soft no Omochabako (Japan) (En,Ja)","趣味游戏 软玩具箱（日版） (En,Ja)",3DO#178,
3do,Gakkou no Kowai Uwasa - Hanako-san ga Kita!! (Japan),学校里的恐怖传言 花子来了（日版）,3DO#179,
3do,Game no Tatsujin (Japan),游戏达人（日版）,3DO#180,
3do,Gateway to English - Eigo de Go! (Japan),,3DO#181,
3do,"Gex (Japan, Korea)",蜥蜴（日版，韩版）,3DO#182,
3do,"Gex (USA, Europe)",蜥蜴（美版 欧版）,3DO#183,
3do,Ghost Hunter Series - Kuroki Shi no Kamen (Japan),幽灵猎人系列-黑死病面具（日版）,3DO#184,
3do,Ghost Hunter Series - Kuroki Shi no Kamen (Japan) (Rev 1),幽灵猎人系列-黑死病面具（日版） （修正版 1）,3DO#185,
3do,Goal FH (Field Hunter) (Japan),野战猎人(Field Hunter) （日版）,3DO#186,
3do,Great! Soccer Kid (Japan),伟大的足球小子（日版）,3DO#187,
3do,Gridders (Europe),橄榄球运动员（欧版）,3DO#188,
3do,Gridders (Japan),橄榄球运动员（日版）,3DO#189,
3do,"Gridders (USA, Korea)",橄榄球运动员（美版，韩版）,3DO#190,
3do,Grimm Meisaku Gekijou Vol. 1 - Bremen no Ongakutai (Japan),格林名著剧场1（日版）,3DO#191,
3do,Grimm Meisaku Gekijou Vol. 2 - Hansel to Gretel (Japan),格林名著剧场2（日版）,3DO#192,
3do,Grimm Meisaku Gekijou Vol. 3 - Akazukin (Japan),格林名著剧场3（日版）,3DO#193,
3do,Guardian War (Canada),守护战争（加拿大版）,3DO#194,
3do,"Guardian War (USA, Korea)",守护战争（美版，韩版）,3DO#195,
3do,Hatsubai 1 Shuunen - 3DO REAL - Tokubetsu Premium CD (Japan),発売１周年　３ＤＯ　ＲＥＡＬ　特別光碟（日版）,3DO#196,
3do,Hell - A Cyberpunk Thriller (USA),地狱 一部赛博朋克惊悚片（美版）,3DO#197,
3do,Hello Kitty - Asobi no Omochabako (Japan),,3DO#198,
3do,"Hirata Shougo Interactive Ehon - Aesop Monogatari Vol. 1 (Japan) (En,Ja,Fr)","平田昭吾互动绘本 伊索寓言物语vol.1（日版） (En,Ja,Fr)",3DO#199,
3do,"Hirata Shougo Interactive Ehon - Cinderella (Japan) (En,Ja,Fr)","平田昭吾互动绘本 灰姑娘（日版） (En,Ja,Fr)",3DO#200,
3do,"Hirata Shougo Interactive Ehon - Ningyo-hime (Japan) (En,Ja,Fr)","平田昭吾互动绘本 人鱼公主（日版） (En,Ja,Fr)",3DO#201,
3do,"Hirata Shougo Interactive Ehon - Ookami to Shichihiki no Koyagi (Japan) (En,Ja,Fr)","平田昭吾互动绘本 狼和七只山羊（日版） (En,Ja,Fr)",3DO#202,
3do,"Hirata Shougo Interactive Ehon - Sanbiki no Kobuta (Japan) (En,Ja,Fr)","平田昭吾互动绘本 三只小猪（日版） (En,Ja,Fr)",3DO#203,
3do,"Hirata Shougo Interactive Ehon - Shirayuki-hime (Japan) (En,Ja,Fr)",,3DO#204,
3do,Hitchcock ni Chousen (Japan),挑战希奇厨师（日版）,3DO#205,
3do,"Horde, The (Europe)",部落（欧版）,3DO#206,
3do,"Horde, The (Japan)",部落（日版）,3DO#207,
3do,"Horde, The (USA)",部落（美版）,3DO#208,
3do,"Horde, The (USA) (RCB)",部落（美版） (RCB),3DO#209,
3do,Icebreaker (USA),破冰者（美版）,3DO#210,
3do,Icebreaker II (USA) (Bonus Disk) (Unl),破冰者2（美版） （附赠光碟） （非官方版）,3DO#211,
3do,Ide Yousuke Meijin no Shin Jissen Mahjong (Japan),井出洋介名人的新実戦麻雀（日版）,3DO#212,
3do,Idol Janshi Suchie-Pai Special (Japan),偶像雀士特别篇（日版）,3DO#213,
3do,Idol Mahjong - Final Romance 2 - Hyper Edition (Japan),麻将罗曼史2（日版）,3DO#214,
3do,Igo Time Trial - Shikatsu Daihyakka (Japan),围棋时间·试行 生死大百科（日版）,3DO#215,
3do,Igo Time Trial - Tsumego I (Japan),围棋时间·试行 詰碁 1（日版）,3DO#216,
3do,Immercenary (Europe),完美世界（欧版）,3DO#217,
3do,Immercenary - Combat in a Digital World (USA),完美世界 数字世界中的战斗（美版）,3DO#218,
3do,Immortal Desire (USA),不朽的欲望（美版）,3DO#219,
3do,"Incredible Machine, The (Europe)",不可思议的机器（欧版）,3DO#220,
3do,"Incredible Machine, The (USA)",不可思议的机器（美版）,3DO#221,
3do,"Incredible Machine, The - Pararancho (Japan)",不可思议的机器（日版）,3DO#222,
3do,Insector War (Japan),杀虫战记（日版）,3DO#223,
3do,"Interplay 3DO Buffet, The (USA)",,3DO#224,
3do,Iron Angel of the Apocalypse - Tetsujin (Europe),世界末日的铁天使 铁人（欧版）,3DO#225,
3do,Iron Angel of the Apocalypse - Tetsujin (USA),世界末日的铁天使 铁人（美版）,3DO#226,
3do,Iron Angel of the Apocalypse - The Return (USA),世界末日的铁天使 回归（美版）,3DO#227,
3do,Ishida Yoshio Kudan no Igo Seiha (Japan),石田芳夫九段之围棋制霸（日版）,3DO#228,
3do,J. B. Harold - Blue Chicago Blues (Japan) (Disc 1),JB哈罗德:蓝色的芝加哥布鲁斯（日版） （光碟 1）,3DO#229,
3do,J. B. Harold - Blue Chicago Blues (Japan) (Disc 2),JB哈罗德:蓝色的芝加哥布鲁斯（日版） （光碟 2）,3DO#230,
3do,J.League Virtual Stadium '95 (Japan),J联盟虚拟体育场 95（日版）,3DO#231,
3do,J.League Virtual Stadium (Japan),J联盟虚拟体育场（日版）,3DO#232,
3do,Jammit (USA),,3DO#233,
3do,Jiei Shoubou Katsudou no Gakushuu - 3DO TES (3DO Training Educational System) (Japan),,3DO#234,
3do,Jietai World (Japan),,3DO#235,
3do,Jikki Pachi-Slot Simulator Vol. 1 (Japan),Jikki Pachi插槽模拟器 vol1（日版）,3DO#236,
3do,John Madden Football (USA),约翰麦登橄榄球（美版）,3DO#237,
3do,John Madden Football (USA) (Alt),约翰麦登橄榄球（美版） (Alt),3DO#238,
3do,John Madden NFL Football (Europe),约翰麦登橄榄球（欧版）,3DO#239,
3do,Johnny Bazookatone (Europe),约翰尼的火箭筒（欧版）,3DO#240,
3do,Johnny Bazookatone (USA),约翰尼的火箭筒（美版）,3DO#241,
3do,Jurassic Park Interactive (Japan),侏罗纪公园（日版）,3DO#242,
3do,Jurassic Park Interactive (USA),侏罗纪公园（美版）,3DO#243,
3do,Kakinoki Shougi (Japan),柿木将棋（日版）,3DO#244,
3do,Keiba Saishou no Housoku (Japan),競馬最勝的法則（日版）,3DO#245,
3do,Kero Kero Keroppi to Origami no Tabibito (Japan),青蛙大冒险（日版）,3DO#246,
3do,Killing Time (Europe),杀戮时刻（欧版）,3DO#247,
3do,Killing Time (USA) (RE1),杀戮时刻（美版） (RE1),3DO#248,
3do,Killing Time (USA) (RE2),杀戮时刻（美版） (RE2),3DO#249,
3do,"Kingdom - The Far Reaches (USA, Europe)",王国-遥远（美版 欧版）,3DO#250,
3do,Konpeki no Kantai (Japan),绀碧之舰队（日版）,3DO#251,
3do,Konpeki no Kantai (Japan) (Rev 1),绀碧之舰队（日版） （修正版 1）,3DO#252,
3do,Kyuumei Kyuukyuu Teate no ABC (Japan),,3DO#253,
3do,Kyuusei Senjutsu ni Yoru - Heisei Kaiun Koyomi (Japan),九星占卜术 开运历（日版）,3DO#254,
3do,"Last Bounty Hunter, The (USA)",最后的赏金猎人（美版）,3DO#255,
3do,Lemmings (Japan),旅鼠（日版）,3DO#256,
3do,Lemmings (USA),旅鼠（美版）,3DO#257,
3do,"Life Stage, The - Virtual House (Japan)",生命阶段 虚拟小屋（日版）,3DO#258,
3do,"Life Stage, The - Virtual House (Japan) (Rev 1)",生命阶段 虚拟小屋（日版） （修正版 1）,3DO#259,
3do,"Life Stage, The - Virtual House (USA, Korea)",生命阶段 虚拟小屋（美版，韩版）,3DO#260,
3do,"Little House, The (Japan)",,3DO#261,
3do,Live! 3DO Magazine CD-ROM 1 (Japan),3DO游戏杂志CD 1（日版）,3DO#262,
3do,Live! 3DO Magazine CD-ROM 10 (Japan),3DO游戏杂志CD 10（日版）,3DO#263,
3do,Live! 3DO Magazine CD-ROM 11 (Japan),3DO游戏杂志CD 11（日版）,3DO#264,
3do,Live! 3DO Magazine CD-ROM 2 (Japan),3DO游戏杂志CD 2（日版）,3DO#265,
3do,Live! 3DO Magazine CD-ROM 3 (Japan),3DO游戏杂志CD 3（日版）,3DO#266,
3do,Live! 3DO Magazine CD-ROM 4 (Japan),3DO游戏杂志CD 4（日版）,3DO#267,
3do,Live! 3DO Magazine CD-ROM 5 (Japan),3DO游戏杂志CD 5（日版）,3DO#268,
3do,Live! 3DO Magazine CD-ROM 6 (Japan),3DO游戏杂志CD 6（日版）,3DO#269,
3do,Live! 3DO Magazine CD-ROM 7 (Japan),3DO游戏杂志CD 7（日版）,3DO#270,
3do,Live! 3DO Magazine CD-ROM 8 (Japan),3DO游戏杂志CD 8（日版）,3DO#271,
3do,Live! 3DO Magazine CD-ROM 9 (Japan),3DO游戏杂志CD 9（日版）,3DO#272,
3do,Lost Dungeon (Japan),失落的地下城（日版）,3DO#273,
3do,"Lost Eden (USA, Korea)",失落的伊甸园（美版，韩版）,3DO#274,
3do,"Lost Files of Sherlock Holmes, The (Europe)",福尔摩斯丢失的档案（欧版）,3DO#275,
3do,"Lost Files of Sherlock Holmes, The (USA)",福尔摩斯丢失的档案（美版）,3DO#276,
3do,Love Bites (USA),恋爱字节（美版）,3DO#277,
3do,Lucienne's Quest (USA),吕西安娜的谜题（美版）,3DO#278,
3do,Mad Dog II - The Lost Gold (USA),疯狗2消失的黄金城（美版）,3DO#279,
3do,Mad Dog McCree (USA),疯狗 麦克里（美版）,3DO#280,
3do,Mahjong Gokuu Tenjiku (Japan),麻雀悟空 天竺（日版）,3DO#281,
3do,Mahjong-kyou Jidai - AV Gal Seifuku-hen (Japan),麻雀狂时代 av辣妹制服（日版）,3DO#282,
3do,Mahjong-kyou Jidai Cogal Houkago-hen (Japan),麻将狂时代 高中辣妹放学后篇（日版）,3DO#283,
3do,Makaroni Hourensou Interactive (Japan),マカロニほうれん荘　インタラクティブ（日版）,3DO#284,
3do,Mathemagics - An Interactive Learning Cube (USA),数学 互动教学（美版）,3DO#285,
3do,Mazer (USA),马泽尔（美版）,3DO#286,
3do,"MegaRace (Europe) (En,Fr,De,Es,It)","烈火战车（欧版） (En,Fr,De,Es,It)",3DO#287,
3do,MegaRace (Japan),烈火战车（日版）,3DO#288,
3do,"MegaRace (USA, Europe) (En,Fr,De,Es,It)","烈火战车（美版 欧版） (En,Fr,De,Es,It)",3DO#289,
3do,"MegaRace (USA, Korea) (En,Fr,De,Es,It)","烈火战车（美版，韩版） (En,Fr,De,Es,It)",3DO#290,
3do,Microcosm (Japan),缩影（日版）,3DO#291,
3do,Microcosm (USA),缩影（美版）,3DO#292,
3do,Mind Teazzer (USA),,3DO#293,
3do,Mirai Shounen Conan - Digital Library (Japan),未来少年柯南 - 数字图书馆（日版）,3DO#294,
3do,Monoshiri Jiyuugaku - Ogura Hyakunin Isshu-hen (Japan),小倉百人一首編（日版）,3DO#295,
3do,Montana Jones (Japan),夺宝奇谋（日版）,3DO#296,
3do,Montana Jones (Japan) (Demo),夺宝奇谋（日版） （演示版）,3DO#297,
3do,Moon Cradle - Igyou no Hanayome (Japan),月球摇篮 异型的新娘（日版）,3DO#298,
3do,Multimedia Shinsho - Driving School - Futsuu Menkyo Gakka-hen (Japan),,3DO#299,
3do,"Murphy da yo Zen'in Shuugou!! (Japan) (En,Ja)","全员集合！（日版） (En,Ja)",3DO#300,
3do,Myst (Germany),神秘岛（德国版）,3DO#301,
3do,Myst (Japan),神秘岛（日版）,3DO#302,
3do,Myst (Japan) (Rev A),神秘岛（日版） （修正版 A）,3DO#303,
3do,Myst (USA),神秘岛（美版）,3DO#304,
3do,N.O.B. (Neo Organic Bioform) (Japan),,3DO#305,
